id,ticker,dividend_yield,predicted_high,predicted_low,is_odd,last_updated,company_name,total_dividend_2025,previous_close,live_price_2026,base_yield,live_yield,sector,last_mined,last_live_update,pe_ratio,payout_ratio,pbv,roe,beta
50,ASMI.JK,0,,,false,2026-03-06 04:24:11.293076+00,"Asuransi Maximus Graha Persada ",0,17,,,,,2026-03-13 16:46:12.680529+00,,5.8219175,0,0.38719964,6.87,-0.094
51,ASRI.JK,0,,,false,2026-03-06 04:24:12.633999+00,Alam Sutera Realty Tbk.,0,126,,,,,2026-03-13 16:46:13.215794+00,,49.027237,0,0.22060408,0.48,0.338
52,ASRM.JK,0,,,false,2026-03-06 04:25:03.669612+00,Asuransi Ramayana Tbk,0,282,,,,,2026-03-13 16:46:13.790234+00,,18.516087,0,0.67812914,2.9,0.083
53,ASSA.JK,4.98,,,false,2026-03-06 04:25:05.104156+00,Adi Sarana Armada Tbk.,50,1005,,,,,2026-03-13 16:46:14.401665+00,,9.770562,48.61,1.6912245,18.5,0.182
54,ATIC.JK,0,,,false,2026-03-06 04:25:06.48532+00,Anabatic Technologies Tbk.,0,500,,,,,2026-03-13 16:46:14.955096+00,,5.243839,0,2.1071618,55.87,0.595
55,AUTO.JK,7.56,,,false,2026-03-06 04:25:07.933094+00,Astra Otoparts Tbk,192,2540,,,,,2026-03-13 16:46:15.544778+00,,5.5568924,42.01,0.7803526,14.42,0.032
56,BABP.JK,0,,,false,2026-03-06 04:25:09.292706+00,Bank MNC Internasional Tbk.,0,51,,,,,2026-03-13 16:46:16.114378+00,,26.424871,0,0.608258,2.33,0.609
57,BACA.JK,0,,,false,2026-03-06 04:25:10.639308+00,Bank Capital Indonesia Tbk.,0,132,,,,,2026-03-13 16:46:16.655898+00,,28.75817,0,0.39352593,1.52,0.226
58,BAJA.JK,0,,,false,2026-03-06 04:25:11.985891+00,Saranacentral Bajatama Tbk.,0,136,,,,,2026-03-13 16:46:17.223439+00,,,0,7.6654263,-95.42,0.935
59,BALI.JK,4.03,,,false,2026-03-06 04:25:13.335927+00,Bali Towerindo Sentra Tbk.,50,1240,,,,,2026-03-13 16:46:17.768811+00,,26.781858,107.92,1.9832956,7.23,-0.262
60,BAPA.JK,0,,,false,2026-03-06 04:25:14.646364+00,Bekasi Asri Pemula Tbk,0,76,,,,,2026-03-13 16:46:18.377764+00,,,0,0.4349543,-4.02,-0.509
61,BATA.JK,0,,,false,2026-03-06 04:25:16.043878+00,Sepatu Bata Tbk,0,59,,,,,2026-03-13 16:46:19.298195+00,,,0,-1.0271409,,0.556
62,BAYU.JK,7.14,,,false,2026-03-06 04:25:17.477671+00,Bayu Buana Tbk,100,1400,,,,,2026-03-13 16:46:20.073017+00,,59.483345,,0.92354375,20.68,0.048
63,BBHI.JK,0.83,,,false,2026-03-06 04:25:18.817284+00,Allo Bank Indonesia Tbk.,10.74,1295,,,,,2026-03-13 16:46:20.63262+00,,48.92331,40.59,3.7334733,7.78,0.691
64,BBKP.JK,0,,,false,2026-03-06 04:25:20.204108+00,Bank KB Indonesia Tbk.,0,60,,,,,2026-03-13 16:46:21.177366+00,,,0,1.3598658,-34,0.661
65,BBLD.JK,1.53,,,false,2026-03-06 04:25:21.580504+00,Buana Finance Tbk,12,785,,,,,2026-03-13 16:46:21.775644+00,,29.85926,45.59,0.9113643,3.08,0.096
66,BBMD.JK,1.7,,,false,2026-03-06 04:25:22.903875+00,Bank Mestika Dharma Tbk.,34.25,2020,,,,,2026-03-13 16:41:19.690809+00,,23.773096,40.27,1.521608,6.59,-0.053
67,BBRM.JK,0,,,false,2026-03-06 04:25:24.196692+00,Pelayaran Nasional Bina Buana R,0,128,,,,,2026-03-13 16:46:22.343264+00,,9.778457,0,25600,16.92,0.572
68,BBTN.JK,4.25,,,false,2026-03-06 04:25:25.683778+00,"Bank Tabungan Negara (Persero) ",53.57048,1260,,,,,2026-03-13 16:46:22.919457+00,,5.478261,23.29,0.48835313,10.18,0.365
